Loading PyTorch model from ../data/ultralitics/yolo26l.pt...
Extracted 1092 tensors.
Initializing GGUF writer for architecture 'yolo'...
Writing tensors...
  Added tensor: model.6.m.1.m.0.cv2.bn.weight | shape: (128,) | dtype: float16
  Added tensor: model.6.m.1.m.0.cv2.bn.bias | shape: (128,) | dtype: float16
  Added tensor: model.6.m.1.m.0.cv2.bn.running_mean | shape: (128,) | dtype: float16
  Added tensor: model.6.m.1.m.0.cv2.bn.running_var | shape: (128,) | dtype: float16
  Added tensor: model.6.m.1.m.0.cv2.bn.num_batches_tracked | shape: () | dtype: int64
  Added tensor: model.6.m.1.m.1.cv1.conv.weight | shape: (128, 128, 3, 3) | dtype: float16
  Added tensor: model.6.m.1.m.1.cv1.bn.weight | shape: (128,) | dtype: float16
  Added tensor: model.6.m.1.m.1.cv1.bn.bias | shape: (128,) | dtype: float16
  Added tensor: model.6.m.1.m.1.cv1.bn.running_mean | shape: (128,) | dtype: float16
  Added tensor: model.6.m.1.m.1.cv1.bn.running_var | shape: (128,) | dtype: float16
  Added tensor: model.6.m.1.m.1.cv1.bn.num_batches_tracked | shape: () | dtype: int64
  Added tensor: model.6.m.1.m.1.cv2.conv.weight | shape: (128, 128, 3, 3) | dtype: float16
  Added tensor: model.6.m.1.m.1.cv2.bn.weight | shape: (128,) | dtype: float16
  Added tensor: model.6.m.1.m.1.cv2.bn.bias | shape: (128,) | dtype: float16
  Added tensor: model.6.m.1.m.1.cv2.bn.running_mean | shape: (128,) | dtype: float16
  Added tensor: model.6.m.1.m.1.cv2.bn.running_var | shape: (128,) | dtype: float16
  Added tensor: model.6.m.1.m.1.cv2.bn.num_batches_tracked | shape: () | dtype: int64
  Added tensor: model.7.conv.weight | shape: (512, 512, 3, 3) | dtype: float16
  Added tensor: model.7.bn.weight | shape: (512,) | dtype: float16
  Added tensor: model.7.bn.bias | shape: (512,) | dtype: float16
  Added tensor: model.7.bn.running_mean | shape: (512,) | dtype: float16
  Added tensor: model.7.bn.running_var | shape: (512,) | dtype: float16
  Added tensor: model.7.bn.num_batches_tracked | shape: () | dtype: int64
  Added tensor: model.8.cv1.conv.weight | shape: (512, 512, 1, 1) | dtype: float16
